### NIRSPEC Brown Dwarf Spectroscopic Survey (BDSS)
### McLean et al. 2007, ApJ, 658. 1217
### Please cite the above reference if you use  
### or display this data in your publication.
###     2MASS 0559 -- NIRSPEC-3 Filter, dispersion order 59
### lambda (microns)   Flambda (Normalized)
       1.3006510      0.83869912
       1.3006694      0.91101086
       1.3006879      0.96895698
       1.3007064      0.98723956
       1.3007249      0.99401229
       1.3007434      0.97907452
       1.3007618      0.99343340
       1.3007802      0.98252320
       1.3007987      0.96251620
       1.3008171      0.95990491
       1.3008356      0.94594070
       1.3008541      0.97520584
       1.3008726      0.96319421
       1.3008909      0.94865041
       1.3009094      0.94969402
       1.3009279      0.92538281
       1.3009464      0.92063418
       1.3009648      0.89153322
       1.3009833      0.84835633
       1.3010018      0.77461229
       1.3010202      0.75289714
       1.3010386      0.73278607
       1.3010571      0.71140467
       1.3010756      0.69791686
       1.3010941      0.66650961
       1.3011125      0.62155750
       1.3011310      0.60139916
       1.3011494      0.60928589
       1.3011679      0.62985948
       1.3011863      0.64163076
       1.3012048      0.66512039
       1.3012233      0.70705173
       1.3012418      0.72305339
       1.3012602      0.67079773
       1.3012786      0.66319048
       1.3012971      0.61921562
       1.3013156      0.61623284
       1.3013340      0.62431967
       1.3013525      0.71503440
       1.3013710      0.75136004
       1.3013895      0.81744989
       1.3014078      0.84819591
       1.3014263      0.88406731
       1.3014448      0.93839019
       1.3014633      0.96578943
       1.3014817      0.97290584
       1.3015002       1.0352544
       1.3015187       1.0352544
       1.3015371       1.0352544
       1.3015556       1.0352544
       1.3015741       1.0352544
       1.3015926       1.0352544
       1.3016111       1.0352544
       1.3016295       1.0352544
       1.3016479       1.0352544
       1.3016664       1.0352544
       1.3016848       1.0352544
       1.3017033       1.0352544
       1.3017218       1.0352544
       1.3017403       1.0352544
